                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1847,                 4.5173,                0.99925,                0.37012,                0.22059,                0.26811,                0.21784,                 1.1229,                 6.0954,                0.98734,               0.067756,             0.00033202,             0.00033202
                      2,                 1.0041,                  2.313,                0.94111,                0.83455,                0.17994,                0.51101,                0.35056,                 1.1514,                 4.1125,                 1.0029,               0.034762,             0.00067074,             0.00067074
                      3,                 0.9196,                 1.8718,                0.92515,                0.65139,                0.59337,                0.64598,                0.45122,                 1.0527,                 2.5142,                0.96416,              0.0017629,              0.0010053,              0.0010053
                      4,                0.84554,                 1.4693,                0.89907,                0.79875,                0.70678,                0.79377,                0.58081,                 1.0098,                 1.7805,                0.96684,              0.0010053,              0.0010053,              0.0010053
                      5,                0.79817,                 1.2605,                0.88932,                0.80242,                0.72843,                0.80215,                 0.5821,                 0.9597,                  1.699,                0.94425,             0.00099454,             0.00099454,             0.00099454
                      6,                0.73559,                 1.0947,                0.87497,                0.82906,                0.78516,                0.83529,                0.61009,                0.94836,                 1.5899,                0.94847,             0.00098083,             0.00098083,             0.00098083
                      7,                0.70642,                0.96243,                0.86671,                0.83664,                0.81564,                0.85516,                 0.6399,                0.92714,                 1.4702,                0.93746,             0.00096424,             0.00096424,             0.00096424
                      8,                0.66043,                0.86838,                0.85539,                0.86361,                0.80659,                0.86721,                0.63414,                0.95047,                 1.5349,                0.94781,             0.00094489,             0.00094489,             0.00094489
                      9,                0.62464,                0.80359,                0.84486,                0.82492,                0.80342,                0.84197,                0.62642,                 0.9275,                 1.6293,                0.94032,             0.00092288,             0.00092288,             0.00092288
                     10,                 0.5865,                0.76265,                0.83889,                0.86089,                0.77638,                0.84205,                0.63164,                0.90901,                  1.557,                0.93028,             0.00089835,             0.00089835,             0.00089835
                     11,                0.55067,                 0.7012,                0.83181,                0.86613,                0.81592,                 0.8721,                0.65579,                0.89676,                 1.4027,                0.93165,             0.00087146,             0.00087146,             0.00087146
                     12,                0.52063,                0.65293,                0.82578,                0.90717,                0.80383,                0.89231,                0.66597,                0.89042,                 1.3117,                0.93584,             0.00084237,             0.00084237,             0.00084237
                     13,                0.49502,                0.61716,                0.82018,                0.87292,                0.82472,                0.87974,                0.65667,                0.90138,                 1.3601,                0.92762,             0.00081126,             0.00081126,             0.00081126
                     14,                0.46858,                0.58209,                0.81656,                0.88947,                0.84065,                0.89176,                0.67682,                0.88332,                 1.3634,                0.93107,             0.00077832,             0.00077832,             0.00077832
                     15,                0.45181,                0.55772,                0.81151,                0.89747,                0.82977,                0.89712,                0.68727,                0.86834,                 1.3106,                0.92398,             0.00074376,             0.00074376,             0.00074376
                     16,                0.43143,                0.53017,                0.80731,                0.89096,                0.84479,                0.89725,                0.67834,                0.88376,                 1.2486,                0.92482,             0.00070778,             0.00070778,             0.00070778
                     17,                0.39829,                0.49793,                0.80346,                0.89689,                0.84227,                0.90284,                0.67992,                0.86324,                 1.2024,                0.92016,             0.00067062,             0.00067062,             0.00067062
                     18,                0.37061,                0.46867,                0.79936,                0.89454,                 0.8331,                0.89478,                0.68477,                0.86046,                 1.2735,                0.91771,             0.00063249,             0.00063249,             0.00063249
                     19,                0.34059,                 0.4382,                0.79571,                0.87015,                0.85129,                0.89346,                0.67763,                0.85739,                  1.211,                0.92137,             0.00059364,             0.00059364,             0.00059364
                     20,                0.33065,                0.42734,                0.79326,                0.88729,                0.84545,                0.89407,                0.68544,                0.85881,                 1.2158,                0.92256,              0.0005543,              0.0005543,              0.0005543
