                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1765,                 4.2378,                0.99245,                0.00022,                0.03936,                0.00288,                 0.0011,                 1.6865,                 5.1646,                 1.2545,               0.067428,             3.2576e-06,             3.2576e-06
                      2,                 1.0582,                 2.9919,                0.94438,                0.09592,                0.53783,                0.18505,                0.13175,                 1.0798,                 4.3072,                0.95639,               0.034097,             6.5809e-06,             6.5809e-06
                      3,                0.98681,                 2.6207,                 0.9273,                0.58816,                0.27396,                0.28426,                0.21312,                 1.0312,                 3.0186,                0.93954,             0.00076744,             9.8638e-06,             9.8638e-06
                      4,                0.94115,                 2.4409,                0.91613,                0.56672,                0.40156,                0.34958,                0.26613,                   1.01,                 2.3854,                0.93324,             9.8632e-06,             9.8632e-06,             9.8632e-06
                      5,                0.90863,                  2.325,                0.90986,                0.57228,                0.43014,                0.39089,                0.29755,                 1.0033,                 2.2098,                0.93355,             9.7577e-06,             9.7577e-06,             9.7577e-06
                      6,                0.88103,                  2.185,                 0.9047,                0.51884,                0.46883,                0.41261,                0.31509,                0.99729,                 2.1242,                0.93255,             9.6232e-06,             9.6232e-06,             9.6232e-06
                      7,                0.86504,                 2.1116,                0.89833,                0.58611,                 0.4447,                0.43277,                0.33001,                0.98945,                 2.0547,                0.93081,             9.4605e-06,             9.4605e-06,             9.4605e-06
                      8,                0.83335,                 2.0161,                0.89466,                0.60693,                0.46354,                0.45122,                0.34301,                0.98146,                 1.9869,                0.92903,             9.2706e-06,             9.2706e-06,             9.2706e-06
                      9,                0.81938,                 1.9455,                0.88876,                0.66586,                0.43587,                0.46534,                0.35365,                0.97608,                 1.9482,                 0.9272,             9.0546e-06,             9.0546e-06,             9.0546e-06
                     10,                0.80949,                 1.8763,                0.88702,                0.69393,                0.43622,                 0.4815,                0.36614,                 0.9724,                 1.9021,                0.92613,              8.814e-06,              8.814e-06,              8.814e-06
