                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2091,                   3.44,                 1.0147,                0.16217,                0.46695,                0.20507,                0.13776,                 1.2069,                 4.4765,                 1.0216,               0.068173,             0.00074924,             0.00074924
                      2,                 1.0568,                 1.9361,                0.98301,                0.23704,                0.15827,                0.14147,                0.09146,                 1.3642,                 3.9114,                 1.1417,               0.035604,              0.0015136,              0.0015136
                      3,                 1.0045,                 1.5547,                0.95915,                0.44154,                0.50186,                0.40345,                 0.2731,                 1.2385,                 3.9207,                  1.082,              0.0030262,              0.0022687,              0.0022687
                      4,                0.90335,                 1.2668,                0.92847,                 0.6838,                0.59511,                0.66791,                0.45842,                 1.0834,                 1.8398,                 1.0066,              0.0022685,              0.0022685,              0.0022685
                      5,                0.85376,                 1.1003,                0.91409,                0.77031,                0.67637,                0.72997,                0.51851,                 1.0095,                 1.7621,                0.97358,              0.0022443,              0.0022443,              0.0022443
                      6,                0.79922,                 0.9592,                0.89409,                0.34519,                0.52769,                 0.4003,                0.27373,                 1.0264,                 3.1627,                0.98128,              0.0022133,              0.0022133,              0.0022133
                      7,                0.75249,                0.88529,                0.88559,                0.53472,                0.54628,                0.53132,                0.39217,                 1.0008,                 2.3159,                0.97091,              0.0021759,              0.0021759,              0.0021759
                      8,                0.71377,                0.79295,                0.87129,                0.70087,                0.65061,                0.70879,                0.51976,                0.97655,                 1.4919,                0.97119,              0.0021322,              0.0021322,              0.0021322
                      9,                0.69393,                0.72228,                0.86605,                0.72149,                0.69228,                0.74156,                0.54789,                 0.9823,                 1.3973,                0.96614,              0.0020826,              0.0020826,              0.0020826
                     10,                0.65273,                0.66233,                0.85493,                0.82782,                0.74176,                0.83115,                0.62065,                0.95135,                 1.2553,                 0.9588,              0.0020272,              0.0020272,              0.0020272
                     11,                0.61758,                0.61906,                  0.847,                0.86166,                0.74699,                 0.8415,                0.61412,                0.96091,                 1.1708,                0.96201,              0.0019665,              0.0019665,              0.0019665
                     12,                0.58736,                0.57806,                0.84036,                0.84216,                0.75335,                0.85216,                0.63307,                0.94333,                 1.1998,                0.95396,              0.0019009,              0.0019009,              0.0019009
                     13,                0.54293,                0.53443,                0.83198,                0.86246,                0.77928,                0.85179,                0.63944,                0.93226,                 1.1443,                0.95087,              0.0018307,              0.0018307,              0.0018307
                     14,                 0.5267,                 0.5063,                0.82821,                0.87247,                0.78529,                0.84966,                0.63295,                0.92726,                 1.1768,                0.94345,              0.0017564,              0.0017564,              0.0017564
                     15,                0.48825,                0.48406,                0.82011,                0.85564,                0.78406,                0.85236,                0.64153,                0.90363,                 1.1264,                0.93931,              0.0016784,              0.0016784,              0.0016784
                     16,                0.46794,                0.46105,                 0.8138,                0.87363,                0.79711,                0.87294,                 0.6548,                0.89668,                 1.1173,                  0.934,              0.0015972,              0.0015972,              0.0015972
                     17,                0.43892,                0.43309,                 0.8096,                0.85287,                0.79932,                0.86496,                0.64904,                0.90472,                 1.1434,                0.94145,              0.0015133,              0.0015133,              0.0015133
                     18,                0.41115,                 0.4161,                0.80648,                0.85424,                0.78928,                0.86289,                0.65477,                0.88572,                 1.1009,                0.93929,              0.0014273,              0.0014273,              0.0014273
                     19,                0.38964,                0.39912,                0.80369,                0.85001,                0.81106,                 0.8612,                0.65538,                0.90349,                 1.0999,                0.94616,              0.0013396,              0.0013396,              0.0013396
                     20,                0.36881,                0.38089,                 0.7998,                 0.8575,                0.78904,                0.86439,                0.66038,                0.88558,                 1.0992,                0.93678,              0.0012508,              0.0012508,              0.0012508
                     21,                0.36166,                0.36625,                0.79918,                0.88603,                0.78735,                0.86991,                0.66416,                0.89536,                 1.0989,                0.94701,              0.0011615,              0.0011615,              0.0011615
                     22,                0.35321,                0.35946,                0.79805,                0.88779,                0.78945,                0.86868,                0.66046,                0.88191,                 1.0981,                0.93543,              0.0010722,              0.0010722,              0.0010722
                     23,                 0.3255,                0.33527,                0.79299,                0.90767,                0.77169,                0.86893,                0.66615,                0.86638,                  1.074,                0.93113,              0.0009834,              0.0009834,              0.0009834
                     24,                0.30323,                0.32502,                0.78949,                0.88537,                0.79059,                0.87443,                0.67195,                 0.8695,                 1.0603,                 0.9324,             0.00089572,             0.00089572,             0.00089572
                     25,                 0.2953,                0.31149,                0.79013,                 0.8695,                0.81401,                0.87457,                0.67457,                0.86846,                 1.0883,                 0.9343,             0.00080968,             0.00080968,             0.00080968
                     26,                0.27787,                0.29555,                0.78874,                0.89746,                0.78217,                0.87422,                0.66763,                0.86622,                 1.0606,                0.93481,             0.00072581,             0.00072581,             0.00072581
                     27,                0.25196,                0.28009,                0.78537,                0.87611,                0.80012,                0.86947,                0.67068,                0.86529,                 1.0812,                0.93545,             0.00064463,             0.00064463,             0.00064463
                     28,                0.23989,                0.26795,                0.78523,                0.88588,                0.80156,                 0.8754,                0.67359,                0.85896,                 1.0524,                0.93454,             0.00056663,             0.00056663,             0.00056663
                     29,                0.22829,                0.25755,                 0.7846,                0.88286,                0.81056,                0.87654,                0.67539,                0.85759,                 1.0567,                0.93316,              0.0004923,              0.0004923,              0.0004923
                     30,                0.21628,                0.24799,                0.78158,                 0.8963,                0.79534,                0.87668,                0.67428,                0.86016,                 1.0563,                0.93266,              0.0004221,              0.0004221,              0.0004221
                     31,                0.20789,                0.23824,                0.78338,                0.88059,                0.81166,                0.87501,                0.67285,                0.86341,                 1.0668,                0.93361,             0.00035646,             0.00035646,             0.00035646
                     32,                0.19859,                0.23137,                0.78339,                0.90141,                0.79407,                0.87597,                0.67766,                 0.8619,                 1.0579,                0.93575,             0.00029578,             0.00029578,             0.00029578
                     33,                0.19068,                0.22144,                0.78106,                0.89134,                0.81368,                 0.8776,                0.67614,                0.85888,                 1.0485,                0.93449,             0.00024043,             0.00024043,             0.00024043
                     34,                0.18285,                0.21937,                0.78163,                0.89117,                0.79841,                0.87467,                 0.6778,                0.86033,                 1.0572,                0.93483,             0.00019077,             0.00019077,             0.00019077
                     35,                0.17458,                0.21196,                0.78014,                0.88695,                0.80241,                0.87766,                0.67757,                0.85679,                 1.0539,                0.93512,             0.00014709,             0.00014709,             0.00014709
                     36,                0.17256,                0.20729,                0.78063,                0.88003,                0.81155,                0.87652,                0.67654,                0.85839,                 1.0536,                0.93663,             0.00010966,             0.00010966,             0.00010966
                     37,                0.16643,                0.20405,                0.77971,                0.88212,                0.81367,                 0.8762,                0.67672,                0.85898,                 1.0608,                 0.9373,             7.8722e-05,             7.8722e-05,             7.8722e-05
                     38,                0.16284,                0.19968,                0.77859,                0.88121,                0.81494,                0.87691,                0.67872,                0.85927,                 1.0607,                0.93726,             5.4457e-05,             5.4457e-05,             5.4457e-05
                     39,                0.16105,                0.19892,                0.77926,                0.87926,                0.81616,                0.87699,                0.67795,                0.86041,                 1.0596,                0.93755,             3.7017e-05,             3.7017e-05,             3.7017e-05
                     40,                0.15697,                0.19637,                0.77851,                0.88208,                0.81863,                0.87735,                 0.6774,                0.85838,                  1.059,                0.93702,              2.651e-05,              2.651e-05,              2.651e-05
