                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1751,                 3.6436,                0.99016,                  0.225,                0.20395,                0.18544,                0.13543,                 1.1734,                  4.875,                 1.0023,               0.067689,             0.00026485,             0.00026485
                      2,                0.99353,                 1.9503,                0.93085,                0.14756,                0.79924,                0.41258,                0.30901,                  1.047,                 3.6028,                 0.9454,               0.034626,             0.00053503,             0.00053503
                      3,                0.90234,                 1.4468,                0.90765,                 0.6092,                0.65651,                0.67322,                0.48773,                 1.0006,                 1.8618,                0.92809,              0.0015595,             0.00080194,             0.00080194
                      4,                0.82973,                  1.152,                0.88811,                0.69914,                0.68781,                0.74735,                0.55233,                0.96144,                 1.5296,                0.92871,             0.00080189,             0.00080189,             0.00080189
                      5,                0.76252,                0.99038,                0.87434,                0.78273,                0.76724,                0.81603,                0.60766,                0.93057,                 1.2545,                0.92488,             0.00079332,             0.00079332,             0.00079332
                      6,                0.71508,                0.85531,                0.85902,                0.83447,                0.78627,                 0.8597,                0.64556,                0.90946,                 1.1986,                0.91831,             0.00078238,             0.00078238,             0.00078238
                      7,                0.66846,                0.73434,                0.84814,                0.84172,                0.81341,                0.86065,                0.64204,                0.91872,                  1.165,                 0.9173,             0.00076915,             0.00076915,             0.00076915
                      8,                0.62816,                0.66081,                0.84177,                0.85843,                0.79488,                0.86662,                0.65267,                0.89503,                 1.1755,                0.90987,             0.00075371,             0.00075371,             0.00075371
                      9,                0.59082,                0.62651,                0.83419,                0.87855,                 0.7828,                0.86338,                0.66409,                0.88237,                 1.1199,                0.90771,             0.00073615,             0.00073615,             0.00073615
                     10,                0.54926,                0.57129,                0.82507,                0.88049,                0.82064,                0.88669,                0.67735,                0.87989,                 1.0761,                0.91074,             0.00071659,             0.00071659,             0.00071659
                     11,                0.51441,                0.53212,                0.82155,                0.87037,                0.80861,                0.87301,                0.67136,                0.87543,                 1.0974,                0.90727,             0.00069514,             0.00069514,             0.00069514
                     12,                0.49331,                0.50717,                0.81622,                0.87839,                0.80324,                0.87447,                0.66259,                0.88487,                 1.1222,                0.90286,             0.00067194,             0.00067194,             0.00067194
                     13,                0.47717,                0.48499,                0.81214,                0.89712,                0.82436,                0.89161,                0.67721,                0.87455,                 1.0051,                0.90433,             0.00064712,             0.00064712,             0.00064712
                     14,                0.44507,                0.46117,                0.80957,                0.86463,                0.83629,                0.87972,                0.67968,                0.86386,                 1.0176,                0.90352,             0.00062085,             0.00062085,             0.00062085
                     15,                0.41253,                0.43261,                0.80305,                0.89959,                0.81759,                 0.8794,                0.67701,                0.86039,                  1.042,                0.90728,             0.00059328,             0.00059328,             0.00059328
                     16,                0.38489,                0.40841,                0.79866,                0.88236,                0.82704,                 0.8854,                0.68001,                0.86979,                 1.0439,                0.90598,             0.00056458,             0.00056458,             0.00056458
                     17,                0.36986,                0.38768,                0.79735,                0.88462,                0.85418,                0.88872,                0.68295,                0.85449,                 1.0327,                0.90091,             0.00053493,             0.00053493,             0.00053493
                     18,                0.35992,                0.37565,                0.79577,                0.88749,                0.84466,                0.88896,                0.68559,                0.84274,                  0.996,                0.89885,             0.00050452,             0.00050452,             0.00050452
                     19,                0.33207,                0.35394,                 0.7931,                0.90318,                0.84102,                0.89697,                0.68721,                0.85031,                0.97675,                0.89911,             0.00047353,             0.00047353,             0.00047353
                     20,                0.30933,                0.33778,                0.78985,                0.88652,                0.84468,                0.88792,                0.68271,                0.83493,                 1.0183,                 0.8977,             0.00044215,             0.00044215,             0.00044215
                     21,                0.29404,                0.32185,                0.78953,                0.89959,                0.82841,                0.88944,                0.68454,                0.83664,                0.98973,                 0.8986,             0.00041057,             0.00041057,             0.00041057
                     22,                0.28328,                0.31137,                0.78914,                0.89512,                0.82927,                0.89189,                 0.6893,                0.84015,                0.97555,                0.89912,               0.000379,               0.000379,               0.000379
                     23,                0.26862,                0.29581,                0.78608,                0.88038,                0.84409,                0.89166,                0.68486,                0.83641,                 1.0009,                0.89718,             0.00034762,             0.00034762,             0.00034762
                     24,                0.25209,                0.28498,                0.78412,                0.89521,                0.84012,                0.88818,                0.68313,                0.83292,                  1.008,                0.89616,             0.00031662,             0.00031662,             0.00031662
                     25,                0.24452,                0.27474,                0.78447,                0.89048,                0.84101,                0.88746,                0.68661,                 0.8371,                 1.0071,                0.89866,             0.00028621,             0.00028621,             0.00028621
                     26,                0.23442,                0.26558,                 0.7841,                0.88101,                0.84674,                0.89127,                0.68987,                 0.8376,                0.98463,                0.89928,             0.00025656,             0.00025656,             0.00025656
                     27,                0.21564,                0.25183,                0.78149,                0.88537,                0.85444,                0.89359,                0.69044,                0.83508,                0.96631,                0.89727,             0.00022787,             0.00022787,             0.00022787
                     28,                0.20276,                0.24134,                0.78166,                0.90695,                0.82528,                0.89233,                0.69351,                0.83502,                0.97424,                0.89889,              0.0002003,              0.0002003,              0.0002003
                     29,                0.19325,                0.23109,                0.78141,                0.87742,                0.84846,                0.89428,                0.69392,                0.83336,                0.97324,                0.89861,             0.00017402,             0.00017402,             0.00017402
                     30,                0.18472,                0.22513,                0.77875,                0.88926,                0.84325,                0.89558,                0.68988,                0.83002,                 0.9713,                0.89711,             0.00014921,             0.00014921,             0.00014921
                     31,                0.18081,                0.21937,                0.78045,                0.88666,                0.84744,                0.89496,                0.69333,                0.83056,                0.96759,                0.89708,               0.000126,               0.000126,               0.000126
                     32,                0.17335,                0.21066,                0.78079,                0.90252,                0.83427,                0.89326,                 0.6932,                0.82945,                0.96679,                 0.8969,             0.00010455,             0.00010455,             0.00010455
                     33,                0.16383,                 0.2022,                0.77856,                0.87816,                0.85835,                0.89269,                0.69393,                0.83031,                0.96649,                 0.8977,              8.499e-05,              8.499e-05,              8.499e-05
                     34,                 0.1594,                0.20003,                0.77908,                0.87995,                0.85507,                0.89576,                0.69206,                0.82884,                0.96839,                0.89728,             6.7434e-05,             6.7434e-05,             6.7434e-05
