                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.193,                 4.7673,                  1.007,                0.34642,                0.15838,                0.22876,                0.18874,                 1.1364,                 6.6408,                 1.0053,               0.067756,             0.00033202,             0.00033202
                      2,                 1.0088,                 2.4844,                0.94512,                0.15971,                0.78553,                0.52493,                0.36459,                 1.1583,                 4.7255,                0.99954,               0.034762,             0.00067074,             0.00067074
                      3,                0.93305,                 1.9701,                0.91904,                0.68631,                0.63879,                0.70855,                0.49662,                 1.0326,                 2.6228,                0.95915,              0.0017629,              0.0010053,              0.0010053
                      4,                0.85861,                 1.5927,                 0.9042,                0.76229,                0.66182,                0.76561,                0.55386,                 1.0312,                 2.2058,                0.96529,              0.0010053,              0.0010053,              0.0010053
                      5,                 0.8131,                 1.3443,                0.89353,                0.82949,                0.73945,                0.82567,                  0.613,                0.94921,                 1.7721,                0.94356,             0.00099454,             0.00099454,             0.00099454
                      6,                 0.7569,                 1.1858,                0.87793,                0.85171,                0.74392,                0.85437,                0.62692,                0.95401,                 1.7025,                0.94318,             0.00098083,             0.00098083,             0.00098083
                      7,                0.71463,                 1.0455,                0.86586,                  0.801,                 0.7765,                0.81281,                0.60605,                0.94801,                   2.02,                0.93524,             0.00096424,             0.00096424,             0.00096424
                      8,                0.66485,                0.96055,                0.85482,                 0.8712,                0.73931,                0.83795,                0.63212,                0.92386,                 1.7647,                0.93972,             0.00094489,             0.00094489,             0.00094489
                      9,                0.63044,                0.92516,                0.84877,                0.86902,                0.77769,                0.86013,                0.64644,                0.91823,                 1.6433,                0.93489,             0.00092288,             0.00092288,             0.00092288
                     10,                0.60739,                0.84406,                0.84025,                0.87786,                0.77854,                0.85772,                0.64447,                0.92284,                 1.7375,                0.93506,             0.00089835,             0.00089835,             0.00089835
                     11,                0.57589,                0.80664,                 0.8344,                0.87336,                0.76974,                0.86065,                0.63955,                0.92361,                 1.6532,                0.92619,             0.00087146,             0.00087146,             0.00087146
                     12,                0.55591,                0.76492,                 0.8293,                0.85748,                0.78991,                0.86755,                0.65719,                0.91919,                 1.6179,                0.93013,             0.00084237,             0.00084237,             0.00084237
                     13,                0.52977,                0.72926,                0.82385,                0.87987,                0.81201,                0.86636,                0.66545,                0.89161,                 1.4923,                0.92333,             0.00081126,             0.00081126,             0.00081126
                     14,                0.49847,                 0.6751,                0.81996,                0.87704,                0.78039,                0.86224,                0.65989,                0.89866,                 1.7232,                  0.933,             0.00077832,             0.00077832,             0.00077832
                     15,                0.47226,                0.64324,                0.81467,                0.88392,                0.77758,                0.86557,                0.66554,                0.89253,                 1.5385,                0.92844,             0.00074376,             0.00074376,             0.00074376
                     16,                0.44528,                0.61671,                0.80828,                0.90443,                0.77578,                0.85906,                 0.6627,                0.88391,                   1.48,                0.92998,             0.00070778,             0.00070778,             0.00070778
                     17,                0.44404,                0.61605,                0.80787,                0.88726,                0.81244,                0.88231,                0.67793,                0.88325,                 1.4296,                0.92723,             0.00067062,             0.00067062,             0.00067062
                     18,                0.41761,                 0.5733,                0.80603,                0.88532,                 0.8111,                0.88517,                0.67625,                0.87724,                 1.4735,                0.92113,             0.00063249,             0.00063249,             0.00063249
                     19,                0.39606,                0.54392,                  0.802,                 0.8836,                0.81888,                0.87853,                0.67275,                 0.8693,                 1.4512,                0.92099,             0.00059364,             0.00059364,             0.00059364
                     20,                0.37462,                0.52246,                 0.7983,                0.86909,                0.81932,                0.87383,                0.66993,                0.86097,                 1.3892,                0.92003,              0.0005543,              0.0005543,              0.0005543
                     21,                0.35726,                0.50437,                0.79748,                0.89815,                0.78729,                0.87768,                0.67597,                0.85707,                 1.4051,                0.91731,             0.00051471,             0.00051471,             0.00051471
                     22,                 0.3342,                0.47513,                0.79575,                0.89281,                0.79852,                0.88261,                0.68454,                0.85007,                 1.3724,                0.91713,             0.00047513,             0.00047513,             0.00047513
                     23,                0.31967,                0.45526,                0.79199,                0.87741,                0.80803,                0.88741,                0.68577,                0.85319,                 1.3554,                0.91487,             0.00043579,             0.00043579,             0.00043579
                     24,                0.29876,                0.42841,                0.78862,                0.87616,                0.82775,                0.88979,                 0.6902,                 0.8414,                 1.3518,                0.91479,             0.00039694,             0.00039694,             0.00039694
                     25,                0.28044,                0.40988,                0.78776,                0.89643,                0.78543,                0.88437,                0.68361,                0.84877,                 1.3747,                 0.9144,             0.00035881,             0.00035881,             0.00035881
                     26,                0.26666,                0.39187,                0.78783,                0.89245,                0.79766,                0.88442,                0.68346,                0.85257,                 1.3906,                0.91773,             0.00032164,             0.00032164,             0.00032164
                     27,                0.25226,                0.37388,                 0.7851,                0.88326,                0.80456,                0.88526,                0.68569,                0.84463,                 1.3431,                0.91522,             0.00028567,             0.00028567,             0.00028567
                     28,                0.23773,                0.35991,                0.78522,                0.86915,                0.81843,                0.88268,                0.68536,                0.83996,                 1.3369,                0.91557,              0.0002511,              0.0002511,              0.0002511
                     29,                0.22328,                0.34135,                0.78362,                0.85484,                 0.8306,                0.88292,                0.68728,                 0.8339,                 1.3519,                0.91479,             0.00021816,             0.00021816,             0.00021816
