                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1641,                 3.1454,                0.98904,                0.32802,                0.18868,                0.22713,                0.16196,                 1.2034,                 4.2371,                0.99842,               0.067756,             0.00033202,             0.00033202
                      2,                 1.0133,                 1.6195,                0.93927,                0.19722,                0.74089,                0.45484,                0.33721,                   1.07,                 3.2345,                0.95735,               0.034762,             0.00067074,             0.00067074
                      3,                0.90107,                 1.2191,                0.91086,                0.70368,                0.65046,                0.71982,                0.53244,                0.97657,                 1.4327,                0.92504,              0.0017629,              0.0010053,              0.0010053
                      4,                0.82675,                0.99419,                0.89028,                0.71541,                0.66478,                0.75307,                0.55517,                0.99053,                 1.3915,                0.93875,              0.0010053,              0.0010053,              0.0010053
                      5,                 0.7757,                0.90817,                0.87713,                0.73604,                0.67527,                0.76733,                0.57566,                0.94596,                 1.2145,                0.93152,             0.00099454,             0.00099454,             0.00099454
                      6,                0.72558,                0.76625,                0.86474,                0.86599,                0.73467,                0.82799,                0.61999,                0.92637,                 1.0401,                0.92815,             0.00098083,             0.00098083,             0.00098083
                      7,                0.68503,                0.65958,                0.85496,                0.87163,                0.76586,                 0.8432,                0.62982,                0.92182,                 1.1227,                 0.9248,             0.00096424,             0.00096424,             0.00096424
                      8,                0.65135,                0.62429,                0.84744,                0.82323,                0.80125,                 0.8485,                0.63215,                0.92685,                 1.0915,                0.92929,             0.00094489,             0.00094489,             0.00094489
                      9,                0.61484,                0.58471,                0.84109,                0.84383,                0.74994,                0.82788,                 0.6371,                 0.8967,                 1.1693,                0.91924,             0.00092288,             0.00092288,             0.00092288
                     10,                0.57106,                 0.5402,                0.83089,                0.81754,                0.74859,                0.82405,                0.61638,                0.90702,                 1.1385,                0.92499,             0.00089835,             0.00089835,             0.00089835
                     11,                0.54579,                0.50813,                 0.8281,                0.83036,                0.75444,                0.83054,                0.62633,                0.89837,                 1.1469,                0.92425,             0.00087146,             0.00087146,             0.00087146
                     12,                0.51469,                0.47709,                  0.821,                 0.8979,                0.76242,                0.86504,                0.64564,                0.89115,                 1.0404,                0.92007,             0.00084237,             0.00084237,             0.00084237
                     13,                0.49715,                0.45964,                0.81705,                0.88818,                0.77338,                0.87071,                0.66146,                0.88909,                0.99656,                0.91946,             0.00081126,             0.00081126,             0.00081126
                     14,                0.47264,                0.43611,                0.81389,                0.86791,                0.81049,                0.87089,                0.65583,                0.87539,                0.98446,                0.90828,             0.00077832,             0.00077832,             0.00077832
                     15,                0.44303,                0.41057,                0.80891,                0.86827,                 0.7879,                0.85893,                0.65823,                0.86877,                0.94891,                0.90962,             0.00074376,             0.00074376,             0.00074376
                     16,                0.42153,                0.39273,                0.80513,                0.89326,                0.78619,                 0.8697,                0.66156,                0.87643,                0.99468,                0.91381,             0.00070778,             0.00070778,             0.00070778
                     17,                0.41497,                0.38007,                0.80363,                0.91916,                0.76472,                 0.8814,                0.66417,                 0.8717,                0.93703,                0.91336,             0.00067062,             0.00067062,             0.00067062
                     18,                  0.379,                0.35629,                0.79947,                0.85562,                0.81934,                0.87934,                0.67032,                0.85908,                0.95987,                0.90823,             0.00063249,             0.00063249,             0.00063249
                     19,                0.36186,                0.34262,                 0.7965,                0.89233,                0.79533,                0.88761,                0.68703,                0.85019,                0.89683,                0.90836,             0.00059364,             0.00059364,             0.00059364
                     20,                0.34782,                0.32827,                0.79441,                0.90008,                0.77533,                 0.8778,                0.67148,                0.86151,                0.95198,                0.91382,              0.0005543,              0.0005543,              0.0005543
                     21,                0.33328,                0.31694,                0.79417,                 0.9076,                0.79676,                0.88555,                0.68064,                0.85231,                0.94882,                0.91196,             0.00051471,             0.00051471,             0.00051471
                     22,                0.31916,                0.30316,                0.79282,                0.85013,                 0.8285,                0.87915,                0.67532,                0.84442,                0.90533,                0.90971,             0.00047513,             0.00047513,             0.00047513
                     23,                0.30084,                0.28888,                0.78913,                0.86684,                0.80941,                0.88843,                0.68158,                0.84433,                0.88446,                0.90809,             0.00043579,             0.00043579,             0.00043579
                     24,                0.28566,                0.27901,                0.78679,                0.89263,                0.80713,                0.89292,                0.68055,                 0.8395,                0.86516,                0.90698,             0.00039694,             0.00039694,             0.00039694
