                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.171,                 4.3562,                0.99801,                0.23727,                0.20832,                0.20997,                0.14985,                 1.1664,                 6.0018,                0.99735,               0.067756,             0.00033202,             0.00033202
                      2,                 1.0103,                 2.2722,                0.94196,                0.77055,                 0.2187,                0.46922,                0.33635,                 1.1023,                 4.0859,                0.98654,               0.034762,             0.00067074,             0.00067074
                      3,                0.91332,                 1.7298,                0.91456,                0.75498,                0.54823,                0.68368,                0.50159,                 1.0338,                 2.1735,                0.95681,              0.0017629,              0.0010053,              0.0010053
                      4,                0.83624,                 1.4079,                0.89351,                0.76196,                0.68096,                0.74189,                0.54268,                  1.012,                 1.8865,                 0.9642,              0.0010053,              0.0010053,              0.0010053
                      5,                0.79149,                 1.1941,                0.88543,                0.82144,                0.62113,                0.75412,                0.56169,                0.96265,                 1.7578,                0.95207,             0.00099454,             0.00099454,             0.00099454
                      6,                0.73762,                 1.0465,                0.87042,                0.84968,                0.65588,                 0.7925,                0.59561,                0.92811,                 1.6185,                0.93291,             0.00098083,             0.00098083,             0.00098083
                      7,                0.68128,                0.94205,                0.85692,                0.82582,                0.79549,                0.85801,                0.63655,                0.91179,                 1.4893,                0.92173,             0.00096424,             0.00096424,             0.00096424
                      8,                0.64676,                0.82452,                0.84869,                0.82414,                0.71718,                0.82351,                0.60244,                0.94763,                  1.562,                0.93937,             0.00094489,             0.00094489,             0.00094489
                      9,                0.61758,                0.80634,                0.84121,                0.86508,                0.77038,                0.84783,                0.63588,                0.89073,                 1.3765,                0.92335,             0.00092288,             0.00092288,             0.00092288
                     10,                0.57561,                0.74513,                0.83203,                0.87144,                0.80507,                0.87993,                0.64514,                0.89851,                 1.4053,                0.92251,             0.00089835,             0.00089835,             0.00089835
                     11,                0.54411,                0.67358,                0.82789,                0.92826,                0.71918,                0.85623,                0.64394,                0.89209,                 1.4071,                0.92071,             0.00087146,             0.00087146,             0.00087146
                     12,                0.52263,                0.64065,                0.82037,                0.88115,                0.79906,                 0.8848,                0.66242,                0.89287,                 1.3741,                0.91932,             0.00084237,             0.00084237,             0.00084237
                     13,                0.48583,                0.60164,                0.81389,                0.90382,                0.80812,                0.88637,                0.66969,                0.88894,                 1.2427,                0.92163,             0.00081126,             0.00081126,             0.00081126
                     14,                0.46728,                0.56368,                0.81211,                0.85836,                0.80502,                0.86644,                0.65791,                0.87951,                 1.3288,                0.91885,             0.00077832,             0.00077832,             0.00077832
                     15,                0.45209,                0.53846,                0.80848,                0.89544,                0.81727,                 0.8917,                0.67021,                0.88454,                 1.2504,                 0.9273,             0.00074376,             0.00074376,             0.00074376
                     16,                0.42773,                0.50781,                 0.8033,                0.86074,                0.84035,                0.88972,                0.67254,                0.87758,                 1.2008,                0.92152,             0.00070778,             0.00070778,             0.00070778
                     17,                0.39781,                0.48468,                0.80018,                0.88616,                0.82358,                0.89643,                0.67178,                0.87189,                 1.2185,                0.91368,             0.00067062,             0.00067062,             0.00067062
                     18,                0.38197,                0.46232,                0.79839,                 0.8697,                0.84401,                0.90142,                0.68826,                0.86413,                 1.2061,                0.91398,             0.00063249,             0.00063249,             0.00063249
                     19,                0.35363,                0.43993,                0.79469,                0.87193,                0.84021,                 0.8838,                0.67689,                0.85335,                 1.2135,                0.91792,             0.00059364,             0.00059364,             0.00059364
                     20,                0.33132,                 0.4195,                 0.7917,                0.85134,                0.84877,                0.89492,                0.68354,                0.86085,                 1.1825,                0.91416,              0.0005543,              0.0005543,              0.0005543
                     21,                0.31402,                0.39671,                0.79086,                0.87063,                0.83456,                0.90003,                0.68802,                0.85363,                 1.1841,                0.91634,             0.00051471,             0.00051471,             0.00051471
                     22,                0.29894,                0.38219,                0.78973,                0.86657,                0.84265,                0.89194,                0.68406,                0.84892,                  1.166,                0.91328,             0.00047513,             0.00047513,             0.00047513
                     23,                0.27933,                0.36018,                0.78624,                0.84951,                 0.8362,                0.88338,                0.68148,                0.84946,                 1.2077,                 0.9122,             0.00043579,             0.00043579,             0.00043579
