                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2056,                  8.152,                 1.0143,                0.33978,                0.27307,                0.29389,                0.20925,                 1.1929,                 11.072,                 1.0305,               0.067756,             0.00033202,             0.00033202
                      2,                  1.039,                 4.0946,                0.95892,                0.80427,                0.23292,                  0.547,                0.39655,                 1.0874,                 7.8484,                0.97378,               0.034762,             0.00067074,             0.00067074
                      3,                0.95048,                 3.2327,                0.93431,                0.68921,                0.65216,                0.71639,                0.51393,                 1.0372,                  4.121,                0.98085,              0.0017629,              0.0010053,              0.0010053
                      4,                0.86815,                 2.6463,                0.90862,                0.75228,                0.60772,                0.73315,                0.52801,                 1.0129,                  3.701,                0.95801,              0.0010053,              0.0010053,              0.0010053
                      5,                0.81874,                 2.2597,                0.89437,                0.80497,                0.73343,                0.81597,                0.59809,                0.95741,                 3.1148,                0.93527,             0.00099454,             0.00099454,             0.00099454
                      6,                0.78304,                 2.0048,                0.88136,                0.80613,                0.74032,                0.80775,                0.59116,                0.97479,                 3.0076,                0.95057,             0.00098083,             0.00098083,             0.00098083
                      7,                0.76359,                 1.8245,                0.87513,                0.79232,                0.77181,                0.81963,                0.60585,                0.95103,                 2.7867,                0.93801,             0.00096424,             0.00096424,             0.00096424
                      8,                0.73083,                 1.6606,                0.86836,                0.86603,                0.81517,                0.87695,                0.65352,                0.93909,                 2.5932,                0.93693,             0.00094489,             0.00094489,             0.00094489
                      9,                0.68175,                 1.5208,                0.85478,                0.84849,                0.76896,                0.83847,                0.62443,                 0.9516,                 2.7709,                0.94767,             0.00092288,             0.00092288,             0.00092288
                     10,                0.64511,                 1.4475,                0.84958,                0.82657,                0.81861,                0.85089,                0.63285,                0.94042,                 2.6497,                0.94143,             0.00089835,             0.00089835,             0.00089835
                     11,                0.62463,                 1.3936,                0.84656,                0.88559,                0.80466,                0.86369,                0.64266,                0.93159,                 2.8427,                0.93466,             0.00087146,             0.00087146,             0.00087146
                     12,                0.57928,                  1.272,                0.83356,                0.87245,                0.81849,                 0.8718,                0.65555,                0.91094,                 2.5556,                0.92551,             0.00084237,             0.00084237,             0.00084237
